Date,Name,Year,Letterboxd URI,Rating
2020-12-24,Home Alone,1990,https://boxd.it/29Fg,3
2020-12-24,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,3
2020-12-25,Tombstone,1993,https://boxd.it/1SE6,4
2020-12-26,Soul,2020,https://boxd.it/ioLA,4.5
2020-12-27,Fast Five,2011,https://boxd.it/BgO,4
2020-12-27,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,3
2020-12-27,Wonder Woman 1984,2020,https://boxd.it/gBtA,3
2020-12-28,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4
2020-12-30,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,3
2020-12-30,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3.5
2020-12-31,Die Hard 2,1990,https://boxd.it/28zw,3
2021-01-02,The Midnight Sky,2020,https://boxd.it/mK6C,3
2021-01-02,Rango,2011,https://boxd.it/QPk,3.5
2021-01-02,Sound of Metal,2019,https://boxd.it/i7Q4,4.5
2021-01-02,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2021-01-03,Logan Lucky,2017,https://boxd.it/dZrs,3.5
2021-01-03,Invader Zim: Enter the Florpus,2019,https://boxd.it/gXDM,3.5
2021-01-03,Klaus,2019,https://boxd.it/ipoi,4
2021-01-04,Taste of Cherry,1997,https://boxd.it/1m8W,4
2021-01-04,Paths of Glory,1957,https://boxd.it/29b6,4
2021-01-04,The Emperor's New Groove,2000,https://boxd.it/1Tey,3.5
2021-01-06,Alien³,1992,https://boxd.it/20zS,3
2021-01-06,Stagecoach,1939,https://boxd.it/297S,4
2021-01-08,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/1jf6,3.5
2021-01-08,He Got Game,1998,https://boxd.it/1YBs,3.5
2021-01-08,The Young and the Damned,1950,https://boxd.it/29AA,4
2021-01-09,The Band Concert,1935,https://boxd.it/2ftq,4
2021-01-10,An American Werewolf in London,1981,https://boxd.it/29yk,4
2021-01-11,Easy A,2010,https://boxd.it/17DK,3.5
2021-01-11,Tenet,2020,https://boxd.it/leq4,4.5
2021-01-12,Enemy of the State,1998,https://boxd.it/1XME,3
2021-01-12,Transformers,2007,https://boxd.it/280c,3
2021-01-12,Transformers: Revenge of the Fallen,2009,https://boxd.it/20gG,2
2021-01-13,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,2
2021-01-14,Johnny Mnemonic,1995,https://boxd.it/1XBQ,3
2021-01-15,The 8 Diagram Pole Fighter,1984,https://boxd.it/1h2a,4.5
2021-01-16,Crippled Avengers,1978,https://boxd.it/12wk,4
2021-01-16,Executioners from Shaolin,1977,https://boxd.it/1B0S,3.5
2021-01-17,Chinatown,1974,https://boxd.it/29vU,5
2021-01-18,Heroes of the East,1978,https://boxd.it/10te,4
2021-01-18,The Insider,1999,https://boxd.it/1ZoE,4
2021-01-20,Final Fantasy VII: Advent Children,2005,https://boxd.it/29UK,3
2021-01-20,Mad Max,1979,https://boxd.it/1Y7i,3.5
2021-01-20,Berserk: The Golden Age Arc I - The Egg of the King,2012,https://boxd.it/3MLO,2.5
2021-01-21,Get on Up,2014,https://boxd.it/73bO,3
2021-01-23,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,https://boxd.it/3VWm,3
