Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,genres
2020-11-07,Mobile Suit Gundam F91,1991.0,https://boxd.it/1rLHDl,2.5,,youtube,2020-11-06,"['Animation', 'Science Fiction']"
2020-11-07,"Crouching Tiger, Hidden Dragon",2000.0,https://boxd.it/1rJovN,4.5,Yes,amazonprime,2020-11-06,"['Adventure', 'Drama', 'Action', 'Romance']"
2020-11-06,John Q,2002.0,https://boxd.it/1rCUjZ,3.0,,hbomax,2020-11-05,"['Drama', 'Thriller', 'Crime']"
2020-11-05,Redline,2009.0,https://boxd.it/1rB3rT,3.5,,amazonprime,2020-11-05,"['Action', 'Drama', 'Thriller']"
2020-11-06,Up in Smoke,1978.0,https://boxd.it/1rEovD,3.5,,hbomax,2020-11-05,['Comedy']
2020-11-06,Lone Wolf and Cub: Sword of Vengeance,1972.0,https://boxd.it/1rG7ep,4.0,,hbomax,2020-11-05,"['Drama', 'Action']"
2020-11-05,Teenage Mutant Ninja Turtles,1990.0,https://boxd.it/1rzXC5,3.0,,hbomax,2020-11-04,"['Science Fiction', 'Action', 'Adventure', 'Comedy']"
2020-11-05,Commando,1985.0,https://boxd.it/1rywuh,3.0,,hbomax,2020-11-04,"['Action', 'Adventure', 'Thriller']"
2020-11-05,Thor,2011.0,https://boxd.it/1rxVRt,2.5,,,2020-11-04,"['Adventure', 'Fantasy', 'Action']"
2020-11-05,When We Were Kings,1996.0,https://boxd.it/1rxoDX,4.0,,hbomax,2020-11-04,['Documentary']
2020-11-04,James Brown - The Night James Brown Saved Boston,2008.0,https://boxd.it/1rtUM5,3.5,,,2020-11-03,"['Documentary', 'Music']"
2020-11-04,Ponyo,2008.0,https://boxd.it/1rsMgX,4.0,,hbomax,2020-11-03,"['Animation', 'Fantasy', 'Family']"
2020-11-03,Thief,1981.0,https://boxd.it/1rpMLb,4.0,,hbomax,2020-11-03,"['Crime', 'Thriller', 'Action']"
2020-11-03,Rushmore,1998.0,https://boxd.it/1rpjex,3.5,,amazonprime,2020-11-02,"['Comedy', 'Drama']"
2020-11-03,Chi-Raq,2015.0,https://boxd.it/1rlIOR,3.5,,amazonprime,2020-11-02,"['Drama', 'Crime', 'Comedy']"
2020-11-03,The Perks of Being a Wallflower,2012.0,https://boxd.it/1rl6ZH,3.5,,netflix,2020-11-02,['Drama']
2020-11-02,The Great Dictator,1940.0,https://boxd.it/1rigdR,4.5,,hbomax,2020-11-01,"['Comedy', 'War']"
2020-11-01,Blade Runner,1982.0,https://boxd.it/1r8a3h,5.0,Yes,hbomax,2020-10-31,"['Science Fiction', 'Drama', 'Thriller']"
2020-10-31,The Trial of the Chicago 7,2020.0,https://boxd.it/1qWOJ9,4.0,,netflix,2020-10-30,"['Drama', 'History']"
2020-10-29,M,1931.0,https://boxd.it/1qMkGz,4.0,,hbomax,2020-10-28,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']"
2020-10-28,The Human Condition I: No Greater Love,1959.0,https://boxd.it/1qG9Kj,4.5,,,2020-10-28,"['War', 'Drama', 'History']"
2020-10-28,Bad Education,2019.0,https://boxd.it/1qFGYr,3.5,,hbomax,2020-10-27,"['Drama', 'Crime', 'History']"
2020-10-28,Saving Mr. Banks,2013.0,https://boxd.it/1qBG4Z,3.5,,netflix,2020-10-27,"['Comedy', 'Drama', 'History']"
2020-10-27,Rejected,2000.0,https://boxd.it/1qvCPP,3.0,,youtube,2020-10-26,"['Animation', 'Comedy']"
2020-10-27,The Princess Bride,1987.0,https://boxd.it/1qulHR,4.0,,disney+,2020-10-26,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']"
2020-10-27,Color Out of Space,2019.0,https://boxd.it/1qxdk7,3.0,,,2020-10-26,"['Mystery', 'Science Fiction', 'Thriller']"
2020-10-27,Everything Will Be OK,2006.0,https://boxd.it/1qvEnX,4.0,,,2020-10-26,"['Animation', 'Drama']"
2020-10-27,Stop Making Sense,1984.0,https://boxd.it/1qvrtD,4.5,,amazonprime,2020-10-26,"['Music', 'Documentary']"
2020-10-27,Project Power,2020.0,https://boxd.it/1qysLT,2.5,,netflix,2020-10-26,"['Action', 'Crime', 'Science Fiction']"
2020-10-26,Le Samouraï,1967.0,https://boxd.it/1qrbpd,4.0,,,2020-10-25,"['Crime', 'Thriller']"
2020-10-26,The Discreet Charm of the Bourgeoisie,1972.0,https://boxd.it/1qqifR,3.5,,,2020-10-25,['Comedy']
2020-10-26,Sonic the Hedgehog,2020.0,https://boxd.it/1qlA4x,2.5,,,2020-10-25,"['Action', 'Science Fiction', 'Comedy', 'Family']"
2020-10-25,Borat Subsequent Moviefilm,2020.0,https://boxd.it/1qeBLX,3.5,Yes,,2020-10-24,['Comedy']
2020-10-24,The Treasure of the Sierra Madre,1948.0,https://boxd.it/1q7WBv,4.0,,,2020-10-23,"['Adventure', 'Drama', 'Western']"
2020-10-24,World of Tomorrow,2015.0,https://boxd.it/1q4DMD,5.0,Yes,,2020-10-23,"['Animation', 'Drama', 'Science Fiction']"
2020-10-24,By the People: The Election of Barack Obama,2009.0,https://boxd.it/1q5xNn,3.5,,hbomax,2020-10-23,['Documentary']
2020-10-24,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006.0,https://boxd.it/1q9iWd,3.0,Yes,,2020-10-23,['Comedy']
2020-10-23,Charm City Kings,2020.0,https://boxd.it/1pZx25,3.5,,,2020-10-22,['Drama']
2020-10-23,World of Tomorrow,2015.0,https://boxd.it/1pZ4XV,5.0,Yes,vimeo,2020-10-22,"['Animation', 'Drama', 'Science Fiction']"
2020-10-23,Borat Subsequent Moviefilm,2020.0,https://boxd.it/1q279P,3.5,,amazonprime,2020-10-22,['Comedy']
2020-10-22,Ghosts of Abu Ghraib,2007.0,https://boxd.it/1pWw3v,3.5,,,2020-10-21,['Documentary']
2020-10-22,Back to the Future Part III,1990.0,https://boxd.it/1pVRDd,3.5,Yes,,2020-10-21,"['Adventure', 'Comedy', 'Science Fiction']"
2020-10-21,Vampires vs. the Bronx,2020.0,https://boxd.it/1pQBFx,2.5,,,2020-10-21,"['Comedy', 'Horror']"
2020-10-20,"Aguirre, the Wrath of God",1972.0,https://boxd.it/1pKyK3,4.0,,,2020-10-20,"['Adventure', 'Drama', 'History']"
2020-10-20,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020.0,https://boxd.it/1pGiK9,2.5,,hbomax,2020-10-19,"['Action', 'Crime']"
2020-10-20,The Report,2019.0,https://boxd.it/1pH6UX,3.5,,amazonprime,2020-10-19,"['Thriller', 'Drama']"
